date,day_of_week,month,week_of_year,is_weekend,month_period,weather_type,holiday,total_orders,total_units_sold,total_customer_groups,avg_group_size,school_children_groups,youngers_groups,younger_adults_groups,elders_groups,morning_groups,afternoon_groups,evening_groups,hot_beverage_units,cold_beverage_units,bakery_units,short_eats_units,food_meal_units,traditional_food_units,dairy_units,other_units
2025-10-01,Wednesday,10,40,No,start,Hot,No,182,684.5,228,1.25,12,74,96,46,92,68,68,145.5,34,20.0,135,20,200,7,123
2025-10-02,Thursday,10,40,No,start,Rainy,No,176,662.0,258,1.47,15,100,97,46,51,122,85,141.0,39,22.0,138,16,208,9,89
2025-10-03,Friday,10,40,No,start,Cloudy,No,176,660.0,239,1.36,18,84,92,45,64,103,72,147.0,55,24.0,183,16,128,11,96
2025-10-04,Saturday,10,40,Yes,start,Hot,No,195,730.5,265,1.36,18,93,101,53,42,130,93,144.0,32,26.5,253,20,128,10,117
2025-10-05,Sunday,10,40,Yes,start,Hot,No,201,755.0,274,1.36,21,99,96,58,44,134,96,120.0,50,67.0,285,21,104,21,87
2025-10-06,Monday,10,41,No,start,Rainy,No,153,573.5,208,1.36,12,76,78,42,46,96,66,110.5,32,21.0,178,16,146,19,51
2025-10-07,Tuesday,10,41,No,start,Rainy,No,169,634.0,230,1.36,17,85,82,46,50,106,74,124.5,60,17.5,223,19,124,5,61
2025-10-08,Wednesday,10,41,No,start,Cloudy,No,180,673.5,243,1.35,15,89,93,46,66,104,73,128.0,49,26.5,195,19,165,11,80
2025-10-09,Thursday,10,41,No,start,Rainy,No,189,709.0,256,1.35,15,92,97,52,56,118,82,138.0,39,29.0,216,27,173,15,72
2025-10-10,Friday,10,41,No,start,Cloudy,No,168,630.5,228,1.36,16,82,85,45,62,98,68,133.0,33,31.5,220,21,118,12,62
2025-10-11,Saturday,10,41,Yes,middle,Hot,No,169,634.0,230,1.36,16,84,88,42,37,113,80,109.0,30,10.0,230,23,124,18,90
2025-10-12,Sunday,10,41,Yes,middle,Hot,No,153,574.0,207,1.35,14,76,78,39,33,101,73,104.0,36,17.0,194,23,138,13,49
2025-10-13,Monday,10,42,No,middle,Rainy,No,152,569.0,205,1.35,13,74,76,42,45,94,66,112.0,37,23.0,183,15,141,2,56
2025-10-14,Tuesday,10,42,No,middle,Rainy,No,146,546.0,197,1.35,13,71,76,37,43,91,63,104.0,26,27.0,161,25,137,13,53
2025-10-15,Wednesday,10,42,No,middle,Cloudy,No,160,599.0,218,1.36,16,81,78,43,59,94,65,119.0,41,30.0,234,24,100,6,45
2025-10-16,Thursday,10,42,No,middle,Rainy,No,166,623.0,226,1.36,15,83,84,44,50,104,72,113.0,44,22.0,206,21,150,7,60
2025-10-17,Friday,10,42,No,middle,Cloudy,No,148,555.5,201,1.36,14,71,75,41,54,87,60,123.0,41,29.5,185,20,103,3,51
2025-10-18,Saturday,10,42,Yes,middle,Hot,No,161,605.5,219,1.36,16,79,81,43,35,107,77,115.0,43,33.5,202,20,128,12,52
2025-10-19,Sunday,10,42,Yes,middle,Hot,No,132,495.5,180,1.36,13,65,66,36,29,88,63,87.0,33,16.5,185,18,82,12,62
