date,customer_age_group,day_of_week,month,week_of_year,is_weekend,month_period,Beedi_units,Bite Packet_units,Boil Egg_units,Bread,Bread_units,Breakfast,Breakfast_units,Bulath vita,Bulath vita_units,Buns_units,Chicken Curry,Chicken Curry_units,Cigarette,Cigarette_units,Coffee_units,Cream Bun_units,Dal Curry,Dal Curry_units,Egg Bun_units,Egg Rotti,Egg Rotti_units,Fish Bun_units,Flat Bread_units,Halapa_units,Hoppers,Hoppers_units,Jam bun_units,Kahata,Kahata_units,Lavariya_units,Milk Packet_units,Milk Plain Tea_units,Milk Toffee_units,Milo Tea_units,Pancake_units,Plain Tea,Plain Tea_units,Roast bread,Roast bread_units,Rock Cake_units,Rolls,Rolls_units,Roti,Roti_units,Sesame roll_units,Soft drinks,Soft drinks Cup_units,Soft drinks_units,Spanchi_units,String Hoppers,String Hoppers_units,Tea,Tea_units,Ulundu Wade,Ulundu Wade_units,Vegetable Roti,Vegitable Roti,Vegitable Roti_units,Wade_units,Watter Bottle,Watter Bottle_units,Yogurt_units
2025-10-01,Elders,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.5,0.0,6.0,0.0,0.0,15.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,17.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0
2025-10-01,School Children,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-10-01,Younger Adults,0,0,0,0,0,3.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,24.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,6.0,2.0,0.0,19.0,2.0,0.0,3.0,0.0,29.0,0.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,47.5,0.0,1.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,2.0,3.0,0.0,0.0,40.0,0.0,7.0,0.0,14.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
2025-10-01,Youngers,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,2.0,2.0,0.0,25.0,2.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,38.5,0.0,4.0,0.0,0.0,11.0,0.0,5.0,5.0,0.0,1.0,14.0,0.0,0.0,35.0,0.0,3.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0
2025-10-02,Elders,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,7.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,20.0,0.0,2.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2025-10-02,School Children,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,Younger Adults,0,0,0,0,0,9.0,0.0,0.0,0.0,4.5,0.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,4.0,0.0,2.0,0.0,36.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,7.0,0.0,0.0,10.0,0.0,7.0,2.0,0.0,0.0,5.0,0.0,0.0,20.0,0.0,10.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
2025-10-02,Youngers,0,0,0,0,0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,0.0,1.0,0.0,15.0,0.0,0.0,6.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,21.0,0.0,4.0,1.0,0.0,1.0,19.0,0.0,0.0,15.0,0.0,7.0,0.0,44.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0
2025-10-03,Elders,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,22.5,0.0,9.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,10.0,0.0,4.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
2025-10-03,School Children,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
