customer_age_group,product_name,total_units_by_group,group_product_share,overall_product_share,preference_score
Elders,Yogurt,168.0,0.006669,0.001285,5.189889
Elders,Wade,7.0,0.000278,5.4e-05,5.189889
Elders,Cream Bun,322.0,0.012782,0.002509,5.094952
Elders,Buns,142.0,0.005637,0.001117,5.0477
Elders,Roast Bread,1621.0,0.064348,0.029662,2.169368
Elders,Kahata,1530.0,0.060736,0.035391,1.716129
Elders,Bulath Vita,1320.0,0.0524,0.031651,1.655547
Elders,Ulundu Wade,3583.0,0.142233,0.097538,1.458232
Elders,Bread,128.0,0.005081,0.003499,1.452035
Elders,Halapa,377.0,0.014966,0.011619,1.288077
Elders,Plain Tea,4035.0,0.160176,0.125166,1.279712
Elders,Rolls,2780.0,0.110357,0.093691,1.177883
Elders,Milo Tea,104.0,0.004128,0.003549,1.163251
Elders,Tea,978.0,0.038823,0.033426,1.16149
Elders,Vegitable Roti,799.0,0.031718,0.030274,1.047681
Elders,Egg Bun,10.0,0.000397,0.000444,0.894808
Elders,String Hoppers,2819.0,0.111905,0.12899,0.867546
Elders,Flat Bread,52.0,0.002064,0.002516,0.820286
Elders,Dal Curry,262.0,0.010401,0.012873,0.807933
Elders,Hoppers,939.0,0.037275,0.047507,0.784625
Elders,Roti,292.0,0.011591,0.017218,0.673233
Elders,Fish Bun,346.0,0.013735,0.020484,0.670538
Elders,Milk Toffee,47.0,0.001866,0.003037,0.61442
Elders,Sesame Roll,29.0,0.001151,0.001966,0.58563
Elders,Cigarette,837.0,0.033226,0.063072,0.526793
Elders,Milk Plain Tea,7.0,0.000278,0.000558,0.497661
Elders,Soft Drinks,584.0,0.023183,0.048555,0.477457
Elders,Soft Drinks Cup,34.0,0.00135,0.002838,0.475623
Elders,Spanchi,16.0,0.000635,0.001453,0.437043
Elders,Beedi,134.0,0.005319,0.012835,0.414449
Elders,Egg Rotti,757.0,0.03005,0.080933,0.371302
Elders,Milk Packet,114.0,0.004525,0.012758,0.354705
Elders,Boil Egg,5.0,0.000198,0.000765,0.259494
Elders,Coffee,4.0,0.000159,0.00075,0.211832
Elders,Pancake,2.0,7.9e-05,0.000688,0.115331
Elders,Lavariya,4.0,0.000159,0.005943,0.026718
Elders,Breakfast,3.0,0.000119,0.018189,0.006547
Elders,Bite Packet,0.0,0.0,9.2e-05,0.0
Elders,Chicken Curry,0.0,0.0,0.004314,0.0
Elders,Jam Bun,0.0,0.0,0.002624,0.0
Elders,Rock Cake,0.0,0.0,0.000107,0.0
Elders,Watter Bottle,0.0,0.0,0.008062,0.0
School Children,Soft Drinks,1175.0,0.189333,0.048555,3.899354
School Children,Soft Drinks Cup,61.0,0.009829,0.002838,3.463759
School Children,Milk Toffee,62.0,0.00999,0.003037,3.289977
School Children,Rolls,1413.0,0.227683,0.093691,2.430151
School Children,Fish Bun,297.0,0.047857,0.020484,2.336348
School Children,Roast Bread,406.0,0.065421,0.029662,2.205515
School Children,Egg Rotti,1101.0,0.177409,0.080933,2.192059
School Children,Milk Packet,146.0,0.023526,0.012758,1.843947
School Children,Flat Bread,25.0,0.004028,0.002516,1.600795
