date,day_of_week,month,week_of_year,is_weekend,weather_type,holiday,month_period,Beedi,Bite Packet,Boil Egg,Bread,Breakfast,Bulath vita,Buns,Chicken Curry,Cigarette,Coffee,Cream Bun,Dal Curry,Egg Bun,Egg Rotti,Fish Bun,Flat Bread,Halapa,Hoppers,Jam bun,Kahata,Lavariya,Milk Packet,Milk Plain Tea,Milk Toffee,Milo Tea,Pancake,Plain Tea,Roast bread,Rock Cake,Rolls,Roti,Sesame roll,Soft drinks,Soft drinks Cup,Spanchi,String Hoppers,Tea,Ulundu Wade,Vegitable Roti,Wade,Watter Bottle,Yogurt
2025-10-01,Wednesday,10,40,No,Hot,No,start,3,0,0,4.0,12.0,55.0,2,0.0,65.0,0,1,8.0,5,55.0,7,0,5,57.0,0,1.0,3,6,10,0,0,0,117.5,13.0,0,41.0,15.0,7,23.0,5,0,75.0,17.0,44.0,20.0,1,6.0,1
2025-10-02,Thursday,10,40,No,Rainy,No,start,13,1,0,5.0,10.0,22.0,0,2.0,54.0,0,0,4.0,0,59.0,18,0,6,55.0,1,23.0,3,9,0,0,0,0,99.0,16.0,0,44.0,12.0,3,33.0,2,0,55.0,19.0,77.0,13.0,0,4.0,0
2025-10-03,Friday,10,40,No,Cloudy,No,start,19,0,1,1.0,11.0,18.0,1,0.0,57.0,0,0,5.0,0,47.0,6,0,8,44.0,0,28.0,4,8,0,3,9,0,92.0,22.0,0,71.0,10.0,2,44.0,6,1,60.0,18.0,32.0,27.0,0,5.0,0
2025-10-04,Saturday,10,40,Yes,Hot,No,start,21,0,2,2.5,11.0,34.0,0,1.0,58.0,0,1,8.0,0,60.0,24,0,17,44.0,1,24.0,3,10,0,0,2,2,95.0,22.0,0,75.0,20.0,2,27.0,2,2,40.0,23.0,75.0,19.0,0,3.0,0
2025-10-05,Sunday,10,40,Yes,Hot,No,start,5,0,1,4.0,11.0,19.0,7,0.0,62.0,0,9,10.0,0,71.0,19,0,8,34.0,4,19.0,4,21,0,0,2,2,60.0,43.0,0,83.0,6.0,0,37.0,4,0,50.0,39.0,84.0,28.0,0,9.0,0
2025-10-06,Monday,10,41,No,Rainy,No,start,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
2025-10-07,Tuesday,10,41,No,Rainy,No,start,6,0,0,1.5,11.0,6.0,3,2.0,47.0,0,3,6.0,0,54.0,6,0,5,36.0,1,27.0,0,2,0,1,0,0,69.5,9.0,0,70.0,3.0,0,48.0,6,2,80.0,28.0,68.0,25.0,0,6.0,2
2025-10-08,Wednesday,10,41,No,Cloudy,No,start,23,0,0,1.5,10.0,15.0,0,3.0,41.0,0,0,6.0,5,51.0,19,3,6,30.0,4,25.0,4,10,0,0,0,0,87.0,18.0,0,46.0,20.0,0,39.0,1,1,105.0,16.0,50.0,24.0,0,9.0,1
2025-10-09,Thursday,10,41,No,Rainy,No,start,10,0,1,2.0,15.0,25.0,0,3.0,36.0,2,0,9.0,0,53.0,10,4,7,12.0,1,30.0,0,13,0,0,0,0,84.0,22.0,0,38.0,14.0,0,34.0,0,0,140.0,22.0,84.0,31.0,0,5.0,2
2025-10-10,Friday,10,41,No,Cloudy,No,start,7,0,0,1.5,14.0,12.0,0,1.0,37.0,1,0,6.0,0,51.0,16,3,6,27.0,3,26.0,10,12,0,0,5,0,79.0,24.0,0,50.0,20.0,0,32.0,0,6,55.0,22.0,74.0,29.0,0,1.0,0
2025-10-11,Saturday,10,41,Yes,Hot,No,middle,14,0,0,1.0,16.0,27.0,0,2.0,45.0,1,0,5.0,0,79.0,8,0,3,40.0,1,15.0,5,16,0,0,0,1,68.0,8.0,0,70.0,20.0,0,25.0,2,4,55.0,25.0,54.0,19.0,0,3.0,2
2025-10-12,Sunday,10,41,Yes,Hot,No,middle,2,0,0,2.0,13.0,17.0,0,3.0,28.0,0,2,7.0,0,45.0,12,1,1,30.0,0,19.0,13,9,0,4,0,0,62.0,12.0,0,66.0,12.0,2,30.0,2,2,80.0,23.0,51.0,20.0,0,4.0,0
2025-10-13,Monday,10,42,No,Rainy,No,middle,3,0,1,0.75,9.0,17.0,1,2.0,34.0,0,5,4.0,0,42.0,12,2,6,32.0,0,20.0,3,1,0,0,7,0,66.0,14.0,0,50.0,10.0,0,32.0,0,1,90.0,19.0,58.0,21.0,0,5.0,1
2025-10-14,Tuesday,10,42,No,Rainy,No,middle,6,0,0,2.0,13.0,12.0,0,5.0,35.0,0,0,7.0,0,46.0,15,3,8,41.0,2,20.0,3,11,0,1,0,2,61.0,20.0,0,46.0,3.0,0,25.0,1,0,80.0,23.0,42.0,12.0,0,0.0,1
2025-10-15,Wednesday,10,42,No,Cloudy,No,middle,3,0,1,3.0,12.0,14.0,0,5.0,27.0,0,0,7.0,0,48.0,18,8,3,24.0,1,16.0,4,5,0,0,0,0,76.0,18.0,0,63.0,5.0,4,36.0,1,0,60.0,27.0,87.0,18.0,0,4.0,1
2025-10-16,Thursday,10,42,No,Rainy,No,middle,8,0,0,1.0,10.0,18.0,2,6.0,34.0,0,2,5.0,0,43.0,14,2,5,35.0,2,22.0,2,5,0,1,0,1,63.0,12.0,1,61.0,14.0,3,37.0,3,0,90.0,28.0,72.0,16.0,0,4.0,1
2025-10-17,Friday,10,42,No,Cloudy,No,middle,12,0,0,3.5,8.0,15.0,2,3.0,23.0,0,2,9.0,0,45.0,10,0,9,19.0,4,23.0,4,0,0,0,12,0,70.0,17.0,1,54.0,8.0,3,36.0,1,1,60.0,18.0,52.0,24.0,0,4.0,3
2025-10-18,Saturday,10,42,Yes,Hot,No,middle,9,0,3,1.5,10.0,16.0,0,3.0,23.0,0,0,7.0,0,47.0,13,5,7,22.0,3,31.0,5,9,0,3,0,2,61.0,24.0,0,59.0,10.0,2,36.0,4,1,80.0,23.0,64.0,19.0,0,3.0,0
2025-10-19,Sunday,10,42,Yes,Hot,No,middle,3,0,1,1.5,12.0,25.0,0,0.0,33.0,0,0,6.0,0,43.0,4,0,2,13.0,0,14.0,0,11,0,1,0,0,54.0,15.0,0,62.0,12.0,0,30.0,0,0,55.0,19.0,60.0,16.0,0,3.0,0
2025-10-20,Monday,10,43,No,Rainy,No,middle,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
2025-10-21,Tuesday,10,43,No,Rainy,No,end,3,0,0,3.5,10.0,8.0,0,4.0,30.0,0,4,11.0,0,64.0,15,1,11,13.0,5,27.0,0,2,0,2,0,0,86.0,20.0,0,42.0,7.0,0,27.0,0,0,120.0,13.0,54.0,23.0,0,2.0,1
