date,day_of_week,month,week_of_year,is_weekend,weather_type,holiday,month_period,before_holiday_flag,after_holiday_flag,product_name,target_units_sold,category,day,quarter,week_of_month,is_month_start,is_month_end,lag_1_units,lag_7_units,lag_14_units,lag_21_units,lag_28_units,rolling_mean_3,rolling_mean_7,rolling_mean_14,rolling_std_7,rolling_std_14,rolling_median_7,rolling_median_14,trend_1_7,trend_7_14,weighted_recent
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Bread,3.0,Meal,29,4,5,No,No,1.0,2.0,3.0,1.5,4.0,1.1666666666666667,1.6428571428571428,1.8214285714285714,0.6267831705280094,1.0304431992173013,2.0,2.0,-1.0,-1.0,1.5
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Breakfast,10.0,Meal,29,4,5,No,No,8.5,13.0,12.0,10.0,12.0,5.833333333333333,9.357142857142858,9.107142857142858,4.73210916430054,4.279551429713217,10.0,10.0,-4.5,1.0,10.2
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Bulath vita,11.0,Other,29,4,5,No,No,16.0,6.0,14.0,15.0,55.0,13.0,13.714285714285714,13.714285714285714,6.848705126136032,7.097438014778743,16.0,15.5,10.0,-8.0,12.799999999999999
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Chicken Curry,2.0,Meal,29,4,5,No,No,0.0,3.0,5.0,3.0,0.0,0.6666666666666666,2.7142857142857144,2.857142857142857,2.2886885410853175,2.213842564659669,3.0,3.0,-3.0,-2.0,1.4
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Cigarette,29.0,Other,29,4,5,No,No,31.0,29.0,27.0,41.0,65.0,31.0,29.571428571428573,26.928571428571427,4.6496287614225835,8.905178145449849,29.0,28.0,2.0,2.0,29.999999999999996
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Dal Curry,8.0,Meal,29,4,5,No,No,6.0,9.0,7.0,6.0,8.0,5.666666666666667,12.142857142857142,9.285714285714286,14.135399669253209,10.321214682752826,7.0,7.0,-3.0,2.0,6.999999999999999
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Egg Rotti,45.0,Meal,29,4,5,No,No,28.0,39.0,48.0,51.0,55.0,41.0,39.42857142857143,40.42857142857143,8.580154288767059,14.606185653368222,39.0,43.0,-11.0,-9.0,33.3
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Hoppers,14.0,Meal,29,4,5,No,No,22.0,18.0,24.0,30.0,57.0,18.666666666666668,17.142857142857142,17.571428571428573,8.896227129680144,9.581346346009932,18.0,18.5,4.0,-6.0,21.0
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Kahata,19.0,Hot Beverage,29,4,5,No,No,26.0,24.0,16.0,25.0,1.0,22.333333333333332,23.428571428571427,21.214285714285715,4.466808810815714,7.92443709652006,25.0,23.5,2.0,8.0,24.4
2025-10-29,Wednesday,10,44,No,Cloudy,No,end,No,No,Plain Tea,67.0,Hot Beverage,29,4,5,No,No,66.0,54.0,76.0,87.0,117.5,64.66666666666667,64.71428571428571,61.642857142857146,8.750510189207768,20.105900943435813,66.0,64.5,12.0,-22.0,63.4
