product_name,evaluation_lane,pattern_type,feature_template,selected_strategy,train_rows,test_rows,validation_mape_selected,validation_within15_selected,validation_within5_selected,validation_direction_accuracy_selected,test_mae,test_rmse,test_mape,test_wmape,production_ready
Breakfast,ml_eval,weekly_stable,simple_template,rolling_mean_14,147,37,18.79759926080412,40.909090909090914,83.33333333333333,6.349206349206349,2.5405405405405403,3.525965461037931,17.63200974806438,22.169811320754718,True
Egg Rotti,ml_eval,weekly_stable,simple_template,catboost,147,37,18.261048328313088,54.54545454545454,40.909090909090914,39.68253968253968,10.972972972972974,14.610251861602505,22.55820854685522,22.18579234972678,False
Dal Curry,ml_eval,dense_moderate,simple_template,elasticnet,147,37,24.450998643981098,68.18181818181817,95.45454545454545,47.61904761904762,4.081081081081081,9.843367914077573,26.440560181291765,41.82825484764543,False
Tea,ml_eval,weekly_stable,simple_template,rolling_mean_7,147,37,21.454288073237056,30.3030303030303,59.090909090909086,19.047619047619047,6.702702702702703,9.557790087219502,27.246970650454628,32.375979112271544,False
Plain Tea,ml_eval,weekly_stable,weekly_template,catboost,147,37,15.76741656851154,51.51515151515151,28.787878787878793,65.07936507936508,19.85135135135135,26.80598460812083,28.800508422625647,25.713285489235076,False
Rolls,ml_eval,weekly_stable,simple_template,rolling_mean_7,147,37,25.80749671416902,28.787878787878785,18.181818181818183,31.746031746031743,16.62162162162162,23.54696285000381,28.84063600713514,29.230038022813687,False
Roast bread,ml_eval,dense_moderate,simple_template,rolling_mean_7,147,37,29.61777556435918,39.3939393939394,48.48484848484849,19.047619047619047,6.513513513513513,9.364972114357988,31.369214606078188,34.184397163120565,False
Vegitable Roti,ml_eval,dense_moderate,simple_template,rolling_mean_7,147,37,37.04577607124427,30.3030303030303,43.93939393939394,23.809523809523807,7.027027027027027,9.019498397990398,34.791447101040376,38.23529411764706,False
Cigarette,ml_eval,dense_moderate,simple_template,rolling_mean_14,147,37,27.14703039309678,27.27272727272727,27.27272727272727,20.634920634920633,14.91891891891892,19.800354897174294,36.411358653640875,39.79812545061283,False
Soft drinks,ml_eval,dense_moderate,simple_template,rolling_mean_7,147,37,34.44668646265631,30.303030303030308,37.87878787878788,25.396825396825392,10.108108108108109,12.664058527122274,38.721833491587596,32.04798628963154,False
